OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
133,P,5321681001,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/09/2022 00:00:00,12359,ТСЦ 6345,OPEL,VIVARO,W0LF7BMB67V611484,01/01/2007 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1995,1800,2960,АХ2335МН
134,P,7421182001,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),10/07/2022 00:00:00,12384,ТСЦ 7442,OPEL,VIVARO,W0LF7BMB67V611484,01/01/2007 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1995,1800,2960,СВ9891ЕН
135,P,6810100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/24/2022 00:00:00,12374,ТСЦ 6844,NISSAN,X-TRAIL,JN1TBNT31U0302038,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1997,1750,2050,ВХ2844НН
136,J,7124989001,350,ПЕРЕРЕЄСТРАЦIЯ У ЗВ`ЯЗКУ ЗI ЗМIНОЮ НАЗВИ ОРГАНIЗАЦIЇ,10/26/2022 00:00:00,12377,ТСЦ 7141,БОГДАН,А-09202,Y7BA092027B001612,01/01/2007 00:00:00,ЖОВТИЙ,АВТОБУС,АВТОБУС,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,4570,5000,8280,СА0977АА
137,P,1212400000,400,ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ,01/29/2022 00:00:00,12246,ТСЦ 1247,ЗАЗ,VIDA,Y6DSF48Y0C0005254,01/01/2012 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1498,1179,1530,АЕ9673НО
138,P,4610100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,05/24/2022 00:00:00,12307,ТСЦ  4641,NISSAN,JUKE,SJNFBAF15U6246217,01/01/2012 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1598,1175,1675,ВС3477ОТ
139,P,6310137500,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02/08/2022 00:00:00,12355,ТСЦ 6341,AUDI,100,WAUZZZ4AZPN013272,01/01/1992 00:00:00,СИНІЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2598,1668,1990,АХ8379МА
140,P,4620989001,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,10/29/2022 00:00:00,12310,ТСЦ 4644,AUDI,100,WAUZZZ4AZPN013272,01/01/1992 00:00:00,СИНІЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,2598,1668,1990,ВС3600РВ
141,P,6810100000,400,ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ,02/03/2022 00:00:00,12371,ТСЦ 6841,SKODA,OCTAVIA A5,TMBCA41ZXCB158837,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1595,1403,1880,ВХ9645ЕІ
142,P,8036400000,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,11/07/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,BMW,X1,WBAVL31000VS12748,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1995,1685,2100,КА5918СТ
